None,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
0,A,1999-11-18,45.5,50.0,40.0,44.0,44739900.0,0.0,1.0,31.105116587012,34.181446798914,27.345157439131,30.079673183045,44739900.0
1,A,1999-11-19,42.94,43.0,39.81,40.38,10897100.0,0.0,1.0,29.355026510908,29.396044247066,27.215267941296,27.604936434803,10897100.0
2,A,1999-11-22,41.31,44.0,40.06,44.0,4705200.0,0.0,1.0,28.240711345263,30.079673183045,27.38617517529,30.079673183045,4705200.0
3,A,1999-11-23,42.5,43.63,40.25,40.25,4274400.0,0.0,1.0,29.054229779077,29.826730476733,27.516064673126,27.516064673126,4274400.0
4,A,1999-11-24,40.13,41.94,40.0,41.06,3464400.0,0.0,1.0,27.434029200809,28.671397574929,27.345157439131,28.069804111268,3464400.0
5,A,1999-11-26,40.88,41.5,40.75,41.19,1237100.0,0.0,1.0,27.946750902792,28.370600843099,27.857879141115,28.158675872946,1237100.0
6,A,1999-11-29,41.0,42.44,40.56,42.13,2914700.0,0.0,1.0,28.02878637511,29.013212042918,27.727989643279,28.801287072765,2914700.0
7,A,1999-11-30,42.0,42.94,40.94,42.19,3083000.0,0.0,1.0,28.712415311088,29.355026510908,27.987768638951,28.842304808924,3083000.0
8,A,1999-12-01,42.19,43.44,41.88,42.94,2115400.0,0.0,1.0,28.842304808924,29.696840978897,28.630379838771,29.355026510908,2115400.0
9,A,1999-12-02,43.75,45.0,43.19,44.13,2195900.0,0.0,1.0,29.90876594905,30.763302119023,29.525933744902,30.168544944722,2195900.0
10,A,1999-12-03,44.94,45.69,44.31,44.5,2175700.0,0.0,1.0,30.722284382864,31.235006084848,30.291598153198,30.421487651034,2175700.0
11,A,1999-12-06,45.25,46.44,45.19,45.75,1610000.0,0.0,1.0,30.934209353017,31.747727786832,30.893191616859,31.276023821007,1610000.0
12,A,1999-12-07,45.75,46.0,44.31,45.25,1585100.0,0.0,1.0,31.276023821007,31.446931055001,30.291598153198,30.934209353017,1585100.0
13,A,1999-12-08,45.25,45.63,44.81,45.19,1350400.0,0.0,1.0,30.934209353017,31.193988348689,30.633412621187,30.893191616859,1350400.0
14,A,1999-12-09,45.25,45.94,45.25,45.81,1451400.0,0.0,1.0,30.934209353017,31.405913318842,30.934209353017,31.317041557165,1451400.0
15,A,1999-12-10,45.69,45.94,44.75,44.75,1190800.0,0.0,1.0,31.235006084848,31.405913318842,30.592394885028,30.592394885028,1190800.0
16,A,1999-12-13,45.5,46.25,44.38,45.5,2875900.0,0.0,1.0,31.105116587012,31.617838288996,30.339452178716,31.105116587012,2875900.0
17,A,1999-12-14,45.38,45.38,42.06,43.0,1665900.0,0.0,1.0,31.023081114695,31.023081114695,28.753433047247,29.396044247066,1665900.0
18,A,1999-12-15,42.0,42.31,41.0,41.69,2087100.0,0.0,1.0,28.712415311088,28.924340281241,28.02878637511,28.500490340935,2087100.0
19,A,1999-12-16,42.0,48.0,42.0,47.25,1848300.0,0.0,1.0,28.712415311088,32.814188926958,28.712415311088,32.301467224974,1848300.0
20,A,1999-12-17,46.38,47.12,45.44,45.94,2652400.0,0.0,1.0,31.706710050673,32.212595463297,31.064098850853,31.405913318842,2652400.0
21,A,1999-12-20,46.25,46.94,46.13,46.88,856100.0,0.0,1.0,31.617838288996,32.089542254821,31.535802816678,32.048524518662,856100.0
22,A,1999-12-21,46.69,46.69,46.0,46.63,1616200.0,0.0,1.0,31.918635020826,31.918635020826,31.446931055001,31.877617284667,1616200.0
23,A,1999-12-22,46.63,47.56,46.31,47.56,1363200.0,0.0,1.0,31.877617284667,32.513392195127,31.658856025154,32.513392195127,1363200.0
24,A,1999-12-23,47.5,50.0,47.44,49.75,1544700.0,0.0,1.0,32.472374458969,34.181446798914,32.43135672281,34.01053956492,1544700.0
25,A,1999-12-27,49.94,53.19,49.56,52.81,1451800.0,0.0,1.0,34.140429062756,36.362223104685,33.880650067084,36.102444109013,1451800.0
26,A,1999-12-28,54.25,61.5,53.94,61.5,2546500.0,0.0,1.0,37.086869776822,42.043179562664,36.874944806669,42.043179562664,2546500.0
27,A,1999-12-29,63.0,79.06,62.94,72.0,7524000.0,0.0,1.0,43.068622966632,54.047703678443,43.027605230473,49.221283390436,7524000.0
28,A,1999-12-30,76.0,80.0,74.25,79.25,4771900.0,0.0,1.0,51.95579913435,54.690314878263,50.759448496388,54.177593176279,4771900.0
29,A,1999-12-31,79.5,79.94,76.25,77.31,1381400.0,0.0,1.0,54.348500410274,54.649297142104,52.126706368344,52.851353040481,1381400.0
30,A,2000-01-03,78.75,78.94,67.38,72.0,3343600.0,0.0,1.0,53.83577870829,53.965668206126,46.062917706217,49.221283390436,3343600.0
31,A,2000-01-04,68.13,68.88,64.75,66.5,3408500.0,0.0,1.0,46.575639408201,47.088361110184,44.264973604594,45.461324242556,3408500.0
32,A,2000-01-05,66.25,66.31,61.31,61.56,4119200.0,0.0,1.0,45.290417008561,45.33143474472,41.913290064829,42.084197298823,4119200.0
33,A,2000-01-06,61.63,62.0,58.13,60.0,1812900.0,0.0,1.0,42.132051324342,42.384994030654,39.739350048418,41.017736158697,1812900.0
34,A,2000-01-07,59.06,65.94,59.0,65.0,2016900.0,0.0,1.0,40.375124958877,45.078492038408,40.334107222719,44.435880838588,2016900.0
35,A,2000-01-10,69.0,69.63,67.56,68.94,1536800.0,0.0,1.0,47.170396582502,47.601082812168,46.185970914693,47.129378846343,1536800.0
36,A,2000-01-11,68.94,68.94,66.44,68.0,1327600.0,0.0,1.0,47.129378846343,47.129378846343,45.420306506397,46.486767646523,1327600.0
37,A,2000-01-12,68.0,68.0,64.06,66.63,1022800.0,0.0,1.0,46.486767646523,46.486767646523,43.793269638769,45.550196004233,1022800.0
38,A,2000-01-13,68.38,69.81,66.0,67.63,811400.0,0.0,1.0,46.746546642195,47.724136020644,45.119509774567,46.233824940211,811400.0
39,A,2000-01-14,67.0,69.38,67.0,68.38,942000.0,0.0,1.0,45.803138710545,47.430175578173,45.803138710545,46.746546642195,942000.0
40,A,2000-01-18,68.63,72.88,68.13,71.5,1503400.0,0.0,1.0,46.91745387619,49.822876854097,46.575639408201,48.879468922447,1503400.0
41,A,2000-01-19,72.0,72.0,69.81,70.0,1877600.0,0.0,1.0,49.221283390436,49.221283390436,47.724136020644,47.85402551848,1877600.0
42,A,2000-01-20,70.75,70.88,67.5,68.13,1436300.0,0.0,1.0,48.366747220464,48.455618982141,46.144953178534,46.575639408201,1436300.0
43,A,2000-01-21,69.13,69.38,66.44,68.75,1372200.0,0.0,1.0,47.259268344179,47.430175578173,45.420306506397,46.999489348507,1372200.0
44,A,2000-01-24,68.5,71.81,68.0,68.5,1499200.0,0.0,1.0,46.828582114512,49.091393892601,46.486767646523,46.828582114512,1499200.0
45,A,2000-01-25,68.75,69.63,66.44,67.69,825300.0,0.0,1.0,46.999489348507,47.601082812168,45.420306506397,46.27484267637,825300.0
46,A,2000-01-26,67.94,69.25,67.88,68.31,731300.0,0.0,1.0,46.445749910365,47.341303816496,46.404732174206,46.698692616677,731300.0
47,A,2000-01-27,69.88,70.5,67.25,68.44,621300.0,0.0,1.0,47.771990046163,48.195839986469,45.97404594454,46.787564378354,621300.0
48,A,2000-01-28,69.5,69.5,67.44,68.06,1151100.0,0.0,1.0,47.512211050491,47.512211050491,46.103935442376,46.527785382682,1151100.0
49,A,2000-01-31,67.56,67.63,64.75,66.19,744200.0,0.0,1.0,46.185970914693,46.233824940211,44.264973604594,45.249399272403,744200.0
50,A,2000-02-01,66.25,72.0,66.25,71.0,1004500.0,0.0,1.0,45.290417008561,49.221283390436,45.290417008561,48.537654454458,1004500.0
51,A,2000-02-02,71.88,76.5,71.56,76.5,1391400.0,0.0,1.0,49.139247918119,52.297613602339,48.920486658606,52.297613602339,1391400.0
52,A,2000-02-03,75.19,77.75,73.81,77.75,1272900.0,0.0,1.0,51.402059696207,53.152149772312,50.458651764557,53.152149772312,1272900.0
53,A,2000-02-04,77.75,77.75,75.0,76.25,819500.0,0.0,1.0,53.152149772312,53.152149772312,51.272170198371,52.126706368344,819500.0
54,A,2000-02-07,77.69,80.0,76.25,79.5,911500.0,0.0,1.0,53.111132036153,54.690314878263,52.126706368344,54.348500410274,911500.0
55,A,2000-02-08,80.75,82.19,78.25,79.0,836700.0,0.0,1.0,55.203036580246,56.187462248055,53.493964240301,54.006685942284,836700.0
56,A,2000-02-09,77.63,78.69,75.69,75.75,846100.0,0.0,1.0,53.070114299994,53.794760972131,51.743874164196,51.784891900355,846100.0
57,A,2000-02-10,77.0,78.81,75.31,76.69,763100.0,0.0,1.0,52.639428070328,53.876796444449,51.484095168525,52.427503100175,763100.0
58,A,2000-02-11,76.5,76.81,74.81,75.38,537700.0,0.0,1.0,52.297613602339,52.509538572492,51.142280700535,51.531949194043,537700.0
59,A,2000-02-14,75.25,76.94,74.81,76.44,599200.0,0.0,1.0,51.443077432366,52.598410334169,51.142280700535,52.25659586618,599200.0
60,A,2000-02-15,76.56,83.0,76.56,81.88,1443200.0,0.0,1.0,52.338631338497,56.741201686198,52.338631338497,55.975537277902,1443200.0
61,A,2000-02-16,80.0,81.88,79.38,81.0,1288800.0,0.0,1.0,54.690314878263,55.975537277902,54.266464937956,55.373943814241,1288800.0
62,A,2000-02-17,81.0,97.0,77.63,97.0,675900.0,0.0,1.0,55.373943814241,66.312006789894,53.070114299994,66.312006789894,675900.0
63,A,2000-02-18,88.5,95.88,88.06,93.75,2904200.0,0.0,1.0,60.501160834078,65.546342381598,60.200364102248,64.090212747964,2904200.0
64,A,2000-02-22,96.0,97.38,90.0,91.5,1593700.0,0.0,1.0,65.628377853915,66.571785785565,61.526604238046,62.552047642013,1593700.0
65,A,2000-02-23,91.63,100.0,91.63,99.0,1208900.0,0.0,1.0,62.64091940369,68.362893597828,62.64091940369,67.67926466185,1208900.0
66,A,2000-02-24,101.4,115.4,100.5,106.8,2114700.0,0.0,1.0,69.319974108198,78.890779211894,68.704708065818,73.011570362481,2114700.0
67,A,2000-02-25,103.4,113.9,103.3,108.1,1465100.0,0.0,1.0,70.687231980155,77.865335807927,70.618869086557,73.900287979253,1465100.0
68,A,2000-02-28,108.1,109.2,98.25,101.0,1198400.0,0.0,1.0,73.900287979253,74.652279808829,67.166542959866,69.046522533807,1198400.0
69,A,2000-02-29,101.4,105.2,101.3,103.9,685300.0,0.0,1.0,69.319974108198,71.917764064916,69.2516112146,71.029046448144,685300.0
70,A,2000-03-01,104.5,111.8,104.3,109.1,742400.0,0.0,1.0,71.439223809731,76.429715042372,71.302498022535,74.583916915231,742400.0
71,A,2000-03-02,109.9,110.0,102.5,105.3,850000.0,0.0,1.0,75.130820064013,75.199182957611,70.071965937774,71.986126958513,850000.0
72,A,2000-03-03,104.9,111.8,104.9,108.0,869700.0,0.0,1.0,71.712675384122,76.429715042372,71.712675384122,73.831925085655,869700.0
73,A,2000-03-06,113.0,162.0,112.5,159.0,4072600.0,0.0,1.0,77.250069765546,110.74788762848,76.908255297557,108.69700082055,4072600.0
74,A,2000-03-07,156.0,161.0,131.0,142.0,5515600.0,0.0,1.0,106.64611401261,110.0642586925,89.555390613155,97.075308908916,5515600.0
75,A,2000-03-08,146.0,152.0,140.0,152.0,2828300.0,0.0,1.0,99.80982465283,103.9115982687,95.70805103696,103.9115982687,2828300.0
76,A,2000-03-09,147.0,154.0,145.0,153.0,1798700.0,0.0,1.0,100.49345358881,105.27885614066,99.126195716851,104.59522720468,1798700.0
77,A,2000-03-10,153.0,154.9,140.0,142.0,1773500.0,0.0,1.0,104.59522720468,105.89412218304,95.70805103696,97.075308908916,1773500.0
78,A,2000-03-13,130.1,138.9,129.5,131.3,1878900.0,0.0,1.0,88.940124570775,94.956059207384,88.529947209188,89.760479293949,1878900.0
79,A,2000-03-14,133.0,136.0,118.9,130.0,2520000.0,0.0,1.0,90.922648485112,92.973535293047,81.283480487818,88.871761677177,2520000.0
80,A,2000-03-15,128.1,128.1,113.3,114.3,2179000.0,0.0,1.0,87.572866698818,87.572866698818,77.45515844634,78.138787382318,2179000.0
81,A,2000-03-16,116.0,123.0,112.0,118.1,1981100.0,0.0,1.0,79.300956573481,84.086359125329,76.566440829568,80.736577339035,1981100.0
82,A,2000-03-17,119.3,127.0,118.1,121.1,1118600.0,0.0,1.0,81.556932062209,86.820874869242,80.736577339035,82.78746414697,1118600.0
83,A,2000-03-20,120.4,121.5,113.0,113.8,1016200.0,0.0,1.0,82.308923891785,83.060915721362,77.250069765546,77.796972914329,1016200.0
84,A,2000-03-21,110.8,115.0,105.8,115.0,1808500.0,0.0,1.0,75.746086106394,78.617327637503,72.327941426503,78.617327637503,1808500.0
85,A,2000-03-22,113.6,120.9,109.1,119.4,1407700.0,0.0,1.0,77.660247127133,82.650738359775,74.583916915231,81.625294955807,1407700.0
86,A,2000-03-23,119.3,123.8,117.0,119.7,1396200.0,0.0,1.0,81.556932062209,84.633262274112,79.984585509459,81.830383636601,1396200.0
87,A,2000-03-24,118.75,121.0,116.25,120.0,880200.0,0.0,1.0,81.180936147421,82.719101253372,79.471863807476,82.035472317394,880200.0
88,A,2000-03-27,118.2,119.5,113.2,114.3,605700.0,0.0,1.0,80.804940232633,81.693657849405,77.386795552742,78.138787382318,605700.0
89,A,2000-03-28,114.0,121.9,113.5,119.1,996100.0,0.0,1.0,77.933698701524,83.334367295753,77.591884233535,81.420206275014,996100.0
90,A,2000-03-29,119.0,121.0,110.0,112.0,894400.0,0.0,1.0,81.351843381416,82.719101253372,75.199182957611,76.566440829568,894400.0
91,A,2000-03-30,108.2,112.5,99.13,105.0,1455100.0,0.0,1.0,73.96865087285,76.908255297557,67.768136423527,71.78103827772,1455100.0
92,A,2000-03-31,106.0,106.0,90.0,104.0,2670200.0,0.0,1.0,72.464667213698,72.464667213698,61.526604238046,71.097409341742,2670200.0
93,A,2000-04-03,103.0,103.3,91.75,98.0,1452700.0,0.0,1.0,70.413780405763,70.618869086557,62.722954876008,66.995635725872,1452700.0
94,A,2000-04-04,98.0,102.4,82.0,93.5,2517800.0,0.0,1.0,66.995635725872,70.003603044176,56.057572750219,63.91930551397,2517800.0
95,A,2000-04-05,92.75,99.88,90.13,96.94,1508700.0,0.0,1.0,63.406583811986,68.280858125511,61.615475999723,66.270989053735,1508700.0
96,A,2000-04-06,98.38,105.0,97.06,105.0,983600.0,0.0,1.0,67.255414721544,71.78103827772,66.353024526052,71.78103827772,983600.0
97,A,2000-04-07,107.5,125.0,107.1,122.0,2128200.0,0.0,1.0,73.490110617666,85.453616997286,73.216659043274,83.402730189351,2128200.0
98,A,2000-04-10,122.0,122.0,105.4,107.9,2114500.0,0.0,1.0,83.402730189351,83.402730189351,72.054489852111,73.763562192057,2114500.0
99,A,2000-04-11,101.0,104.9,99.56,100.9,1356300.0,0.0,1.0,69.046522533807,71.712675384122,68.062096865998,68.978159640209,1356300.0
100,A,2000-04-12,98.0,99.25,83.0,86.0,3112700.0,0.0,1.0,66.995635725872,67.850171895845,56.741201686198,58.792088494132,3112700.0
101,A,2000-04-13,88.0,97.0,87.0,90.0,2672800.0,0.0,1.0,60.159346366089,66.312006789894,59.475717430111,61.526604238046,2672800.0
102,A,2000-04-14,87.75,89.44,81.0,82.69,2047700.0,0.0,1.0,59.988439132094,61.143772033898,55.373943814241,56.529276716044,2047700.0
103,A,2000-04-17,80.06,82.63,73.06,79.5,1972500.0,0.0,1.0,54.731332614421,56.488258979886,49.945930062573,54.348500410274,1972500.0
104,A,2000-04-18,78.0,88.0,75.13,87.0,2688300.0,0.0,1.0,53.323057006306,60.159346366089,51.361041960049,59.475717430111,2688300.0
105,A,2000-04-19,87.0,89.94,84.0,87.25,1733900.0,0.0,1.0,59.475717430111,61.485586501887,57.424830622176,59.646624664105,1733900.0
106,A,2000-04-20,87.88,91.75,87.38,89.94,1039400.0,0.0,1.0,60.077310893772,62.722954876008,59.735496425783,61.485586501887,1039400.0
107,A,2000-04-24,87.13,92.38,85.06,91.63,1215000.0,0.0,1.0,59.564589191788,63.153641105674,58.149477294313,62.64091940369,1215000.0
